model,mode,auc_roc,auc_pr,f1
GCN,internal,0.5048411275425027,0.03854711966956569,0.03663003663003663
GraphSAGE,internal,0.5048303228323899,0.03765573285070776,0.03663003663003663
GCN,all,0.5394966178170287,0.04964515373945585,0.10051546391752578
GraphSAGE,all,0.5407408573630087,0.05077459514610482,0.10249671484888305
