feature,mean_abs_shap
emb_5,0.938078037200114
neighbor_risk_score,0.730602240567677
emb_54,0.45795034582430383
emb_2,0.4303483346361281
emb_61,0.38464477973020883
emb_39,0.3324234439267047
emb_7,0.272771852250613
emb_20,0.21819975046569112
emb_34,0.2092052727018432
sex,0.19250351775915098
emb_58,0.17777273040205094
emb_40,0.17095672909462298
emb_42,0.16797830640274125
crypto_total_amount,0.1595050092368271
emb_76,0.14988609241886505
emb_0,0.1487033377148923
emb_45,0.14656209899830686
emb_122,0.13963032698319525
crypto_deposit_count,0.1393985229919652
emb_110,0.13294138214311954
emb_75,0.13043634654253897
emb_187,0.12897463885622187
age,0.12186769290198528
twd_tx_count,0.12030394855996904
emb_38,0.11804693057502053
swap_count,0.10467009135483922
emb_208,0.10060658651306817
emb_241,0.09959530459347146
usdt_market_ratio,0.09603452626586965
emb_47,0.0931498574047884
emb_131,0.09301444181055293
swap_twd_total,0.08785714081748143
emb_43,0.08760665340570879
crypto_tx_count,0.08340901234482972
emb_21,0.08101047158974387
emb_28,0.077847005767821
emb_17,0.07404296048366137
emb_206,0.06980015232415233
twd_total_amount,0.06890724085922674
emb_23,0.06857282336288913
is_round_amount_ratio,0.06851148685269987
emb_19,0.0661319738392269
emb_62,0.06524133085520369
crypto_max_amount,0.06512132224900208
emb_152,0.06467904765672328
emb_27,0.06419704861404434
emb_73,0.06269489279680632
emb_155,0.06208420229956209
emb_248,0.06176864370095174
emb_59,0.06017516222715684
night_tx_ratio,0.05896283292733646
emb_30,0.05847333000809708
emb_11,0.057601239000800365
emb_48,0.057026121064002046
emb_50,0.05677555640951609
emb_106,0.05542781167454338
confirmed_at,0.05133057506839106
emb_46,0.05035996287039486
emb_37,0.048883178050317194
emb_4,0.04840176692208417
n2v_pca_11,0.046879097007719056
emb_109,0.04377441336556315
emb_201,0.04342239336383653
emb_13,0.04270533986317093
first_tx_time,0.03955501272145957
emb_168,0.03923476189019742
emb_25,0.03889798623875474
emb_35,0.038881405018750974
level2_finished_at,0.038493834638454245
emb_103,0.03838018902340579
career,0.038280834531448885
emb_79,0.038228424947756724
emb_1,0.037462219402699413
emb_29,0.037056961742485725
emb_239,0.0366692402468202
account_tenure_days,0.035680461522378686
emb_36,0.03551486655133979
emb_60,0.0353888121486109
emb_108,0.035150546459305286
emb_160,0.034903016335345226
level1_finished_at,0.03471487035632916
emb_3,0.03432427000919663
emb_49,0.0340904359843005
emb_22,0.03363527387386678
emb_207,0.03347904120827194
crypto_from_wallet_count,0.0334432606080196
emb_53,0.03333282710331324
emb_12,0.03291053739782605
nb_n2v_3,0.03224174885174454
emb_149,0.03200331320297026
n2v_pca_12,0.03067760596520762
n2v_pca_10,0.030516358365921828
income_source,0.03042428579948688
emb_101,0.029352124497833122
emb_210,0.02917203806720194
twd_max_amount,0.02907257539121124
emb_33,0.02882600234839094
emb_32,0.028800036764652516
emb_83,0.02837744404112411
emb_81,0.02704521095005653
n2v_pca_15,0.026987341112463068
twd_avg_amount,0.026391997458817765
emb_176,0.025199188709609747
emb_245,0.025010926129888783
emb_18,0.02433863920002693
emb_31,0.024213186340583226
n2v_pca_9,0.024115130854585772
emb_9,0.024014829651915176
n2v_pca_6,0.023774698585024987
dormant_intensity,0.023529569735125207
emb_169,0.02329728216284892
emb_234,0.023152498457683218
emb_24,0.02310185183404668
n2v_pca_5,0.022975317773462643
emb_117,0.022277273781033
emb_156,0.021999462914447758
emb_227,0.02184644260876653
emb_249,0.021642964148624506
n2v_pca_7,0.02083209550533949
swap_twd_avg,0.02058887163922227
nb_n2v_4,0.019924207666774257
emb_204,0.019359729912217294
usdt_avg_amount,0.01917343723449516
first_tx_delay_days,0.018999352907135073
emb_97,0.018830160288113774
emb_235,0.018748136592403597
emb_191,0.018413651490285905
emb_150,0.01807297646843061
twd_ip_count,0.01806531249561233
emb_250,0.01805901870506919
emb_223,0.017485921366128098
emb_8,0.017120997768830255
nb_n2v_6,0.016916178748606677
emb_78,0.01677592834874932
swap_currency_total,0.01651559215287594
emb_65,0.016415899250071718
emb_199,0.016411729494742133
emb_55,0.016218074029250844
emb_111,0.016217944898147593
emb_82,0.015577408512507081
swap_currency_avg,0.01552337908957702
emb_16,0.015135713447180222
emb_10,0.014874270385620867
emb_237,0.014522931180741522
emb_188,0.01444486012110095
nb_n2v_7,0.014390400791142063
emb_26,0.014170209740977211
emb_133,0.013939062534789565
crypto_avg_amount,0.013698616057289765
emb_88,0.013435059611238713
emb_127,0.013305809247340261
emb_180,0.013249449196456523
emb_214,0.013025317021857144
emb_126,0.012928561417892028
emb_51,0.012509067759918382
emb_217,0.012397851021599567
emb_216,0.012270302267108641
emb_136,0.01205790729991266
emb_70,0.011868505202850307
emb_105,0.011774306768590025
n2v_pca_8,0.01164309072868281
shared_ip_degree,0.011459342531666824
emb_15,0.011039791479282867
emb_232,0.011008705542964509
emb_242,0.010788841789480112
emb_175,0.010554211426385714
emb_198,0.010462505962759468
emb_52,0.01025027396763583
emb_194,0.010232095239345809
emb_159,0.010056334622259907
emb_151,0.009938043972362372
emb_148,0.009838360819989544
emb_56,0.009604364630396807
emb_57,0.009532244852172524
out_in_ratio,0.009381649156591983
emb_144,0.009212054878906773
emb_224,0.008807964980285484
emb_68,0.008762499983336365
emb_98,0.00870088786662045
nb_n2v_5,0.00866138644009079
usdt_max_amount,0.00865124940912932
twd_deposit_count,0.008533151441152428
emb_64,0.008410592946942968
emb_84,0.00840915402861836
emb_218,0.008252072525582483
emb_215,0.008142713553349612
degree_diff,0.008017737466894525
emb_14,0.007949174632160494
emb_220,0.007929396969427568
emb_171,0.007871455543856876
emb_114,0.007765814599361081
emb_255,0.007754973001049555
emb_63,0.0076739792049979536
emb_41,0.007565091257838726
emb_100,0.007473795977672058
n2v_pca_13,0.007403638355213677
emb_130,0.007290345443321634
emb_139,0.00727012587537661
emb_209,0.007202848399797359
emb_164,0.0071196500823635725
crypto_to_wallet_count,0.007055084639118316
emb_91,0.0069336519367300935
emb_229,0.006742695848059694
emb_44,0.006689248767234621
emb_74,0.0065302478941343025
emb_121,0.00643810168090659
emb_145,0.006431634085333142
emb_195,0.0063503535651998014
emb_87,0.006327892683797742
usdt_ip_count,0.00631857850765255
emb_228,0.006239050508280869
emb_113,0.006197605575470257
emb_115,0.006192124542074129
emb_158,0.0060948311894118215
emb_212,0.005989054369688398
emb_253,0.0059576597940880225
emb_93,0.005757218170149757
nb_n2v_2,0.005731037241214006
emb_140,0.005625664659758271
emb_99,0.005608216464868006
emb_170,0.005355933457403022
emb_178,0.005317247385505472
usdt_buy_count,0.0052873558715901365
emb_192,0.005274930236388488
emb_129,0.0052411961152839595
emb_197,0.005158208171063014
emb_134,0.005042416637513309
emb_162,0.005018310848652514
crypto_ip_count,0.0049391543677860476
emb_90,0.0049296967079599
emb_221,0.004871299459048455
emb_89,0.004802705447698539
shared_ip_unique_count,0.0047564458230374826
