Model,Accuracy,Precision,Recall,F1-Score,ROC-AUC,CV F1 Mean,CV F1 Std
SVM,0.7756189282356628,0.14502762430939226,0.5198019801980198,0.2267818574514039,0.6828643971790956,0.20820413105865226,0.008812090555689796
LightGBM,0.7286117204638044,0.12946428571428573,0.5742574257425742,0.21129326047358835,0.6912606951561667,0.18945989123605184,0.0032283047679216954
Logistic Regression,0.7104356001253526,0.12159329140461216,0.5742574257425742,0.20069204152249134,0.7000362716097638,0.1896860371715861,0.013806031687611808
XGBoost,0.7185835161391413,0.11674008810572688,0.5247524752475248,0.19099099099099098,0.6486639128951368,0.1788509064131142,0.012153123768878239
Random Forest,0.8016295832027578,0.12259194395796848,0.3465346534653465,0.18111254851228978,0.5582929487328125,0.16182916951771736,0.01427851074287669
Gradient Boosting,0.936696960200564,0.5,0.019801980198019802,0.0380952380952381,0.7120324026380558,0.014388279050681001,0.011558097988708212
