uturn_ratio,pulse_count,user_id,label
0.13333333333333333,0,393228,0
0.047619047619047616,0,917519,0
0.08333333333333333,0,786452,0
0.3333333333333333,0,524310,0
0.25,0,655385,0
0.4444444444444444,0,524319,0
0.6,0,917537,0
0.6666666666666666,0,393249,0
0.4,1,131117,0
0.037037037037037035,0,786481,0
0.3333333333333333,0,917588,0
0.2,0,786527,0
0.3333333333333333,0,262242,0
0.75,0,655481,0
0.0967741935483871,0,524409,0
0.5,0,917632,0
0.3,0,262273,0
0.06666666666666667,0,131,0
0.3333333333333333,0,134,0
0.3333333333333333,0,131206,0
0.25,1,655498,0
0.3,0,917646,0
0.3333333333333333,0,917647,0
0.23076923076923078,0,146,0
0.4166666666666667,0,524440,0
0.3076923076923077,0,786585,0
0.5,0,131228,0
0.2,0,158,0
0.07894736842105263,0,131230,0
0.2909090909090909,0,917667,0
0.2857142857142857,0,393382,0
0.05555555555555555,0,167,0
0.4,0,917678,0
0.6363636363636364,0,655562,0
0.3333333333333333,0,655564,0
0.5,0,210,0
0.06666666666666667,0,524503,0
0.6666666666666666,0,917726,0
0.5,0,917731,0
0.3333333333333333,0,235,0
0.6666666666666666,0,786685,0
0.23076923076923078,0,131336,0
0.16666666666666666,0,273,0
0.125,0,917786,0
0.2857142857142857,0,524570,0
0.3333333333333333,0,917791,0
0.3333333333333333,0,655649,0
0.3333333333333333,2,917793,0
0.1111111111111111,0,131367,0
0.5,0,524584,0
0.125,0,131386,0
0.09090909090909091,1,262492,0
0.1,0,524639,0
0.1111111111111111,0,361,0
0.5,0,374,0
0.12871287128712872,0,381,0
0.3333333333333333,0,393603,0
0.3333333333333333,0,786820,0
0.15384615384615385,0,391,0
0.5,0,131464,0
0.3333333333333333,0,403,0
0.4166666666666667,0,405,0
0.2545454545454545,0,413,0
0.09090909090909091,0,917922,0
0.3333333333333333,0,524729,0
0.36666666666666664,0,460,0
0.3333333333333333,0,524757,0
0.16666666666666666,2,917994,0
0.42857142857142855,1,131566,0
0.3333333333333333,0,508,0
0.3,0,517,0
0.25,0,131589,0
0.36363636363636365,0,393754,0
0.14285714285714285,0,541,0
0.25,0,550,0
0.3333333333333333,0,918059,0
0.30097087378640774,0,559,0
0.3333333333333333,0,786992,0
0.08333333333333333,0,524854,0
0.2,0,131646,0
0.2,0,576,0
0.0,2,918087,0
0.14285714285714285,0,787014,0
0.11538461538461539,7,131667,0
0.17647058823529413,0,918103,0
0.3333333333333333,0,918150,0
0.6,0,918154,0
0.4,0,655,0
0.5454545454545454,0,674,0
0.3,0,918189,0
0.16666666666666666,0,262847,0
0.4444444444444444,0,656069,0
0.3125,0,656079,0
0.42857142857142855,0,131789,0
0.25,0,131797,0
0.3888888888888889,0,744,0
0.7,4,787177,0
0.525,0,756,0
0.05263157894736842,0,393980,0
0.125,0,918285,1
0.43333333333333335,0,801,0
0.16666666666666666,0,131884,0
0.3888888888888889,0,131887,0
0.2,0,833,0
0.14285714285714285,0,837,0
0.07692307692307693,0,131913,0
0.5,1,131915,0
0.5,0,918348,0
0.1,0,656203,0
0.25,0,846,0
0.4444444444444444,0,656228,0
0.6,0,918375,0
0.5,1,918387,1
0.04,0,899,0
0.29411764705882354,0,263055,0
0.2222222222222222,0,525199,0
0.375,0,656274,0
0.2692307692307692,0,656279,0
0.5,0,132015,0
0.2,0,525252,0
0.3,0,787414,0
0.4222222222222222,0,263145,0
0.2,0,918518,0
0.2222222222222222,0,1021,0
0.2,0,918600,0
0.3333333333333333,1,656463,0
0.1875,1,263263,0
0.3333333333333333,0,918632,0
0.0625,0,787565,0
0.02564102564102564,0,525429,0
0.3333333333333333,0,787576,0
0.3333333333333333,0,918649,0
0.3,0,132229,0
0.2608695652173913,0,918664,1
0.05172413793103448,0,132225,0
0.3333333333333333,0,918667,0
0.3333333333333333,0,656530,0
0.14285714285714285,0,918677,0
0.2,0,918686,0
0.16666666666666666,0,918701,0
0.3333333333333333,0,525490,0
0.14285714285714285,0,1207,0
0.2,0,918716,0
0.3333333333333333,0,1212,0
0.3,2,394458,0
0.125,0,787677,0
0.2,0,263389,0
0.3333333333333333,0,394469,0
0.6666666666666666,2,918767,0
0.16666666666666666,0,1328,0
0.23076923076923078,0,525620,0
0.2857142857142857,0,263478,0
0.3333333333333333,0,656702,0
0.0625,0,918848,0
0.2,0,787780,0
0.25,0,918854,0
0.2,0,525651,0
0.3333333333333333,0,132447,0
0.3333333333333333,0,656763,0
0.16666666666666666,0,1411,0
0.04054054054054054,0,394640,0
0.2857142857142857,0,1424,0
0.45,0,1439,0
0.2,0,918947,0
0.2,0,394668,0
0.4166666666666667,0,918967,0
